Hora;Altitud;Temperatura;Presion;Humedad;Latitud;Longitud
00:06:43;1539;26.7;1010.0;68;8.520193;-73.905044
00:06:45;1568;24.1;1013.0;75;8.99196;-74.152052
00:06:47;1608;24.4;1008.5;70;9.252872;-74.568099
00:06:49;1625;25.9;1016.1;79;9.806944;-74.568535
00:06:51;1666;23.6;1011.9;77;9.746045;-74.618715
00:06:53;1672;23.9;1008.3;73;9.916631;-73.868675
00:06:55;1688;25.7;1014.9;78;8.983781;-74.063846
00:06:57;1728;25.0;1017.6;76;9.234096;-73.915693
00:06:59;1776;23.3;1015.0;79;8.39397;-73.040626
00:07:01;1779;23.0;1011.8;64;9.032397;-73.877846
00:07:03;1814;26.4;1013.5;62;9.500965;-74.631566
00:07:05;1851;26.0;1014.7;79;9.024552;-75.615881
00:07:07;1894;25.3;1008.5;61;8.080557;-74.649543
00:07:09;1910;23.9;1017.3;74;7.850036;-74.849475
00:07:11;1948;24.8;1012.5;76;8.636863;-75.152506
00:07:13;1982;23.6;1012.3;72;8.949475;-75.230734
00:07:15;2014;23.3;1011.7;78;8.242726;-75.289378
00:07:17;2029;25.9;1017.4;73;7.810116;-76.024416
00:07:19;2061;23.1;1015.2;67;8.16834;-76.709548
00:07:21;2063;26.1;1009.0;71;7.653058;-77.618915
00:07:23;2100;24.8;1009.0;71;8.146862;-77.946081
00:07:25;2141;23.8;1008.8;67;8.636975;-78.448234
00:07:27;2153;23.0;1014.4;62;8.271991;-77.954894
00:07:29;2199;24.4;1008.7;66;7.347833;-77.984044
00:07:31;2199;25.2;1013.6;70;6.877106;-77.242641
00:07:33;2232;23.5;1008.3;70;6.145069;-76.616649
00:07:35;2275;26.6;1009.9;66;6.108671;-76.40732
00:07:37;2315;24.7;1014.5;76;5.53136;-75.942185
00:07:39;2316;26.3;1017.1;65;5.809856;-75.347988
00:07:41;2334;26.1;1014.0;74;5.972583;-75.476199
00:07:44;2369;25.1;1015.5;66;6.002872;-74.553123
00:07:46;2374;25.5;1016.7;72;5.367082;-73.867206
00:07:48;2394;26.3;1010.1;75;5.360177;-74.855106
00:07:50;2427;23.9;1015.5;70;4.759359;-75.432896
00:07:52;2467;24.8;1015.9;79;5.541767;-76.340758
00:07:54;2481;26.5;1010.4;71;4.980494;-76.429276
00:07:56;2509;23.7;1012.8;79;4.762041;-76.824031
00:07:58;2527;26.3;1014.5;75;4.686727;-77.421812
00:08:00;2539;26.4;1011.5;76;3.874394;-78.154949
00:08:02;2544;26.8;1017.2;67;4.204542;-78.324493
00:08:04;2582;23.8;1009.2;80;4.083385;-78.165898
00:08:06;2587;25.0;1014.5;61;4.090531;-78.053805
00:08:08;2596;24.0;1014.3;65;4.197851;-77.80382
00:08:10;2602;23.5;1013.4;66;5.084657;-76.97863
00:08:12;2613;26.2;1010.8;69;5.13219;-76.895687
00:08:14;2638;26.7;1017.0;68;6.092996;-77.259642
00:08:16;2657;24.0;1016.1;77;5.518847;-78.019178
00:08:18;2675;24.2;1012.6;80;4.842282;-77.640272
00:08:20;2680;23.3;1017.9;63;4.620752;-77.455228
